raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Roue codeuse,26,2.36,2020-12-08
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Capteur,Capteur de luminosité,24,13.92,2020-12-08
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Afficheur,33,26.28,2020-12-08
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur de luminosité,29,13.92,2020-12-08
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Interrupteur,31,9.03,2020-12-08
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Capteur,Gyroscope,37,10.62,2020-12-08
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Composants d'électroniques numériques,Mémoire informatique,44,24.25,2020-12-08
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques analogiques,Diode,23,24.02,2020-12-08
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microcontrôleur,22,28.06,2020-12-09
Sousa Plate-forme Électricité Pièces,18 rue de Carpentier,48607 Collin-les-Bains,Composants servant d'interface humaine,Haut-parleur,20,15.14,2020-12-09
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur de luminosité,35,13.92,2020-12-09
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Capteur,Thermistance,2,20.86,2020-12-09
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants d'électroniques analogiques,Condensateur,37,33.64,2020-12-09
Daniel Confiance Électricité Spécialiste,81 avenue Pauline Marchal,16957 Saint Augustin,Composants servant d'interface humaine,Haut-parleur,11,15.14,2020-12-09
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Capteur,Capteur de champ magnétique,14,15.28,2020-12-09
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Haut-parleur,11,14.26,2020-12-09
